docId	N	ni	tf	(1+N/ni)	idf	word	tfidf
109	243.0	1.0	2.0	244,000000	5,497168	capacityscheduler	10,994336
109	243.0	1.0	1.0	244,000000	5,497168	fairscheduler	5,497168
109	243.0	3.0	1.0	82,000000	4,406719	recommend	4,406719
109	243.0	133.0	4.0	2,827068	1,039240	the	4,156960
109	243.0	7.0	1.0	35,714286	3,575551	between	3,575551
109	243.0	10.0	1.0	25,300000	3,230804	q	3,230804
109	243.0	14.0	1.0	18,357143	2,910019	would	2,910019
109	243.0	18.0	1.0	14,500000	2,674149	other	2,674149
109	243.0	19.0	1.0	13,789474	2,623906	we	2,623906
109	243.0	25.0	1.0	10,720000	2,372111	when	2,372111
109	243.0	26.0	1.0	10,346154	2,336615	use	2,336615
109	243.0	30.0	1.0	9,100000	2,208274	you	2,208274
109	243.0	33.0	1.0	8,363636	2,123893	do	2,123893
109	243.0	33.0	1.0	8,363636	2,123893	one	2,123893
109	243.0	46.0	1.0	6,282609	1,837785	or	1,837785
109	243.0	54.0	1.0	5,500000	1,704748	and	1,704748
