docId	N	ni	tf	(1+N/ni)	idf	word	tfidf
154	243.0	9.0	4.0	28,000000	3,332205	namenode	13,328818
154	243.0	1.0	1.0	244,000000	5,497168	restarts	5,497168
154	243.0	1.0	1.0	244,000000	5,497168	goofy	5,497168
154	243.0	1.0	1.0	244,000000	5,497168	you've	5,497168
154	243.0	1.0	1.0	244,000000	5,497168	overcome	5,497168
154	243.0	1.0	1.0	244,000000	5,497168	seem	5,497168
154	243.0	1.0	1.0	244,000000	5,497168	viable	5,497168
154	243.0	1.0	1.0	244,000000	5,497168	improved	5,497168
154	243.0	1.0	1.0	244,000000	5,497168	world	5,497168
154	243.0	1.0	1.0	244,000000	5,497168	gc	5,497168
154	243.0	1.0	1.0	244,000000	5,497168	heap	5,497168
154	243.0	1.0	1.0	244,000000	5,497168	outdated	5,497168
154	243.0	1.0	1.0	244,000000	5,497168	biggest	5,497168
154	243.0	24.0	2.0	11,125000	2,409195	by	4,818390
154	243.0	2.0	1.0	122,500000	4,808111	either	4,808111
154	243.0	2.0	1.0	122,500000	4,808111	garbage	4,808111
154	243.0	2.0	1.0	122,500000	4,808111	information	4,808111
154	243.0	2.0	1.0	122,500000	4,808111	maximum	4,808111
154	243.0	2.0	1.0	122,500000	4,808111	heard	4,808111
154	243.0	2.0	1.0	122,500000	4,808111	larger	4,808111
154	243.0	3.0	1.0	82,000000	4,406719	collection	4,406719
154	243.0	3.0	1.0	82,000000	4,406719	issues	4,406719
154	243.0	133.0	4.0	2,827068	1,039240	the	4,156960
154	243.0	4.0	1.0	61,750000	4,123094	size	4,123094
154	243.0	4.0	1.0	61,750000	4,123094	having	4,123094
154	243.0	4.0	1.0	61,750000	4,123094	long	4,123094
154	243.0	4.0	1.0	61,750000	4,123094	time	4,123094
154	243.0	5.0	1.0	49,600000	3,903991	anyone	3,903991
154	243.0	43.0	2.0	6,651163	1,894792	what	3,789583
154	243.0	46.0	2.0	6,282609	1,837785	or	3,675571
154	243.0	7.0	1.0	35,714286	3,575551	stop	3,575551
154	243.0	7.0	1.0	35,714286	3,575551	something	3,575551
154	243.0	8.0	1.0	31,375000	3,446011	about	3,446011
154	243.0	11.0	1.0	23,090909	3,139439	like	3,139439
154	243.0	70.0	2.0	4,471429	1,497708	of	2,995416
154	243.0	33.0	1.0	8,363636	2,123893	have	2,123893
154	243.0	55.0	1.0	5,418182	1,689760	does	1,689760
154	243.0	56.0	1.0	5,339286	1,675092	for	1,675092
154	243.0	73.0	1.0	4,328767	1,465283	i	1,465283
154	243.0	99.0	1.0	3,454545	1,239691	is	1,239691
154	243.0	101.0	1.0	3,405941	1,225521	to	1,225521
154	243.0	119.0	1.0	3,042017	1,112521	a	1,112521
