docId	N	ni	tf	(1+N/ni)	idf	word	tfidf
2/11/2015 14:01:14_etroyka@cloudera.com_34	243.0	2.0	1.0	122,500000	4,808111	localjobrunner	4,808111
2/11/2015 14:01:14_etroyka@cloudera.com_34	243.0	3.0	1.0	82,000000	4,406719	eclipse	4,406719
2/11/2015 14:01:14_etroyka@cloudera.com_34	243.0	5.0	1.0	49,600000	3,903991	mode	3,903991
2/11/2015 14:01:14_etroyka@cloudera.com_34	243.0	13.0	1.0	19,692308	2,980228	job	2,980228
2/11/2015 14:01:14_etroyka@cloudera.com_34	243.0	14.0	1.0	18,357143	2,910019	know	2,910019
2/11/2015 14:01:14_etroyka@cloudera.com_34	243.0	15.0	1.0	17,200000	2,844909	run	2,844909
2/11/2015 14:01:14_etroyka@cloudera.com_34	243.0	17.0	1.0	15,294118	2,727468	my	2,727468
2/11/2015 14:01:14_etroyka@cloudera.com_34	243.0	55.0	1.0	5,418182	1,689760	does	1,689760
2/11/2015 14:01:14_etroyka@cloudera.com_34	243.0	70.0	1.0	4,471429	1,497708	how	1,497708
2/11/2015 14:01:14_etroyka@cloudera.com_34	243.0	86.0	1.0	3,825581	1,341710	in	1,341710
2/11/2015 14:01:14_etroyka@cloudera.com_34	243.0	101.0	1.0	3,405941	1,225521	to	1,225521
