docId	N	ni	tf	(1+N/ni)	idf	word	tfidf
138	243.0	9.0	4.0	28,000000	3,332205	block	13,328818
138	243.0	101.0	7.0	3,405941	1,225521	to	8,578648
138	243.0	5.0	2.0	49,600000	3,903991	client	7,807982
138	243.0	6.0	2.0	41,500000	3,725693	nn	7,451387
138	243.0	133.0	7.0	2,827068	1,039240	the	7,274680
138	243.0	14.0	2.0	18,357143	2,910019	know	5,820038
138	243.0	1.0	1.0	244,000000	5,497168	situation	5,497168
138	243.0	1.0	1.0	244,000000	5,497168	trying	5,497168
138	243.0	1.0	1.0	244,000000	5,497168	give	5,497168
138	243.0	1.0	1.0	244,000000	5,497168	accessing	5,497168
138	243.0	1.0	1.0	244,000000	5,497168	info	5,497168
138	243.0	1.0	1.0	244,000000	5,497168	clients	5,497168
138	243.0	1.0	1.0	244,000000	5,497168	deadlock	5,497168
138	243.0	1.0	1.0	244,000000	5,497168	avoid	5,497168
138	243.0	2.0	1.0	122,500000	4,808111	information	4,808111
138	243.0	2.0	1.0	122,500000	4,808111	uses	4,808111
138	243.0	3.0	1.0	82,000000	4,406719	giving	4,406719
138	243.0	3.0	1.0	82,000000	4,406719	particular	4,406719
138	243.0	3.0	1.0	82,000000	4,406719	consider	4,406719
138	243.0	3.0	1.0	82,000000	4,406719	he	4,406719
138	243.0	3.0	1.0	82,000000	4,406719	mechanism	4,406719
138	243.0	31.0	2.0	8,838710	2,179141	not	4,358282
138	243.0	4.0	1.0	61,750000	4,123094	want	4,123094
138	243.0	86.0	3.0	3,825581	1,341710	in	4,025131
138	243.0	44.0	2.0	6,522727	1,875293	that	3,750585
138	243.0	6.0	1.0	41,500000	3,725693	access	3,725693
138	243.0	6.0	1.0	41,500000	3,725693	they	3,725693
138	243.0	7.0	1.0	35,714286	3,575551	multiple	3,575551
138	243.0	7.0	1.0	35,714286	3,575551	out	3,575551
138	243.0	8.0	1.0	31,375000	3,446011	seems	3,446011
138	243.0	119.0	3.0	3,042017	1,112521	a	3,337562
138	243.0	9.0	1.0	28,000000	3,332205	same	3,332205
138	243.0	10.0	1.0	25,300000	3,230804	cluster	3,230804
138	243.0	10.0	1.0	25,300000	3,230804	another	3,230804
138	243.0	16.0	1.0	16,187500	2,784239	so	2,784239
138	243.0	22.0	1.0	12,045455	2,488687	student	2,488687
138	243.0	23.0	1.0	11,565217	2,448002	question	2,448002
138	243.0	25.0	1.0	10,720000	2,372111	when	2,372111
138	243.0	29.0	1.0	9,379310	2,238506	this	2,238506
138	243.0	34.0	1.0	8,147059	2,097657	are	2,097657
138	243.0	55.0	1.0	5,418182	1,689760	does	1,689760
138	243.0	70.0	1.0	4,471429	1,497708	how	1,497708
