docId	N	ni	tf	(1+N/ni)	idf	word	tfidf
2/11/2015 22:44:36_mhagen@cloudera.com_77	243.0	7.0	2.0	35,714286	3,575551	method	7,151102
2/11/2015 22:44:36_mhagen@cloudera.com_77	243.0	1.0	1.0	244,000000	5,497168	includes	5,497168
2/11/2015 22:44:36_mhagen@cloudera.com_77	243.0	1.0	1.0	244,000000	5,497168	sparkcontext	5,497168
2/11/2015 22:44:36_mhagen@cloudera.com_77	243.0	1.0	1.0	244,000000	5,497168	appropriate	5,497168
2/11/2015 22:44:36_mhagen@cloudera.com_77	243.0	7.0	1.0	35,714286	3,575551	stop	3,575551
2/11/2015 22:44:36_mhagen@cloudera.com_77	243.0	25.0	1.0	10,720000	2,372111	when	2,372111
2/11/2015 22:44:36_mhagen@cloudera.com_77	243.0	26.0	1.0	10,346154	2,336615	use	2,336615
2/11/2015 22:44:36_mhagen@cloudera.com_77	243.0	29.0	1.0	9,379310	2,238506	this	2,238506
2/11/2015 22:44:36_mhagen@cloudera.com_77	243.0	47.0	1.0	6,170213	1,819733	it	1,819733
2/11/2015 22:44:36_mhagen@cloudera.com_77	243.0	99.0	1.0	3,454545	1,239691	is	1,239691
2/11/2015 22:44:36_mhagen@cloudera.com_77	243.0	101.0	1.0	3,405941	1,225521	to	1,225521
2/11/2015 22:44:36_mhagen@cloudera.com_77	243.0	119.0	1.0	3,042017	1,112521	a	1,112521
